"sample","mean_dist","z","outlier","dataset","n_probes","n_samples","PC1","PC2"
"GSM3141461",96.4409563623809,1.46146967902666,FALSE,"GSE114419",65527,6,-23.1884019290931,-10.4126690259258
"GSM3141462",92.9814426262359,0.800423087440466,FALSE,"GSE114419",65527,6,19.1073061119434,-6.68114170521636
"GSM3141463",82.559445313638,-1.19102031370365,FALSE,"GSE114419",65527,6,8.47189502403251,4.97104078146285
"GSM3141464",88.4203249700499,-0.0711188431330496,FALSE,"GSE114419",65527,6,2.2068823657519,5.59696861607181
"GSM3141465",84.1492867973103,-0.887232159038011,FALSE,"GSE114419",65527,6,1.72747970813633,-11.3335563587046
"GSM3141466",88.2036490336773,-0.112521450592411,FALSE,"GSE114419",65527,6,-8.32516128077106,17.8593576923121
