"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007159","leukocyte cell-cell adhesion","5/6","439/18860",0.0113895216400911,35.8010630220197,13.1613783173966,3.93239897621783e-08,3.93239897621783e-08,4.80166611832914e-06,"CCDC88B/ICAM1/PECAM1/RUNX3/S100A9",5
"GO:0061028","establishment of endothelial barrier","2/6","50/18860",0.04,125.733333333333,15.7545621182534,0.000102623648729691,0.000102623648729691,0.00550711802475442,"ICAM1/PECAM1",2
"GO:0050900","leukocyte migration","3/6","397/18860",0.00755667506297229,23.7531486146096,8.17370249109234,0.00017660352806863,0.00017660352806863,0.00550711802475442,"ICAM1/PECAM1/S100A9",3
"GO:0001885","endothelial cell development","2/6","68/18860",0.0294117647058824,92.4509803921569,13.4768850528637,0.000190352330760455,0.000190352330760455,0.00550711802475442,"ICAM1/PECAM1",2
"GO:0045123","cellular extravasation","2/6","74/18860",0.027027027027027,84.954954954955,12.9085730827514,0.000225506988082616,0.000225506988082616,0.00550711802475442,"ICAM1/PECAM1",2
"GO:1990266","neutrophil migration","2/6","106/18860",0.0188679245283019,59.3081761006289,10.7391185749911,0.000462520995418048,0.000462520995418048,0.00941270797692869,"PECAM1/S100A9",2
"GO:0045446","endothelial cell differentiation","2/6","126/18860",0.0158730158730159,49.8941798941799,9.8233673440342,0.000652657646663889,0.000652657646663889,0.0113847048139866,"ICAM1/PECAM1",2
"GO:0097530","granulocyte migration","2/6","148/18860",0.0135135135135135,42.4774774774775,9.03683376818971,0.000898728970457279,0.000898728970457279,0.0123574236203813,"PECAM1/S100A9",2
"GO:0003158","endothelium development","2/6","149/18860",0.0134228187919463,42.1923937360179,9.0052312323998,0.000910827344433273,0.000910827344433273,0.0123574236203813,"ICAM1/PECAM1",2
"GO:0002064","epithelial cell development","2/6","226/18860",0.00884955752212389,27.8171091445428,7.23512997925267,0.00207745030424428,0.00207745030424428,0.0184909472597694,"ICAM1/PECAM1",2
"GO:0071674","mononuclear cell migration","2/6","235/18860",0.00851063829787234,26.7517730496454,7.08640763340143,0.00224371595810299,0.00224371595810299,0.0184909472597694,"ICAM1/PECAM1",2
"GO:0097529","myeloid leukocyte migration","2/6","237/18860",0.00843881856540084,26.5260196905766,7.0544905390475,0.00228150297981684,0.00228150297981684,0.0184909472597694,"PECAM1/S100A9",2
"GO:0050870","positive regulation of T cell activation","2/6","267/18860",0.00749063670411985,23.5455680399501,6.61873940152762,0.00288470199750171,0.00288470199750171,0.0184909472597694,"CCDC88B/RUNX3",2
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","2/6","279/18860",0.00716845878136201,22.5328554360812,6.46401549403914,0.00314496388829115,0.00314496388829115,0.0184909472597694,"ICAM1/PECAM1",2
"GO:0002536","respiratory burst involved in inflammatory response","1/6","10/18860",0.1,314.333333333333,17.6800759240509,0.003177542768802,0.003177542768802,0.0184909472597694,"S100A9",1
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","2/6","289/18860",0.0069204152249135,21.7531718569781,6.34233186529691,0.00337007074960928,0.00337007074960928,0.0184909472597694,"CCDC88B/RUNX3",2
"GO:0035696","monocyte extravasation","1/6","11/18860",0.0909090909090909,285.757575757576,16.8523580002021,0.00349483373662096,0.00349483373662096,0.0184909472597694,"PECAM1",1
"GO:0090673","endothelial cell-matrix adhesion","1/6","11/18860",0.0909090909090909,285.757575757576,16.8523580002021,0.00349483373662096,0.00349483373662096,0.0184909472597694,"PECAM1",1
"GO:0043542","endothelial cell migration","2/6","302/18860",0.00662251655629139,20.8167770419426,6.19304325788924,0.00367382576915342,0.00367382576915342,0.0184909472597694,"PECAM1/S100A9",2
"GO:0019062","virion attachment to host cell","1/6","12/18860",0.0833333333333333,261.944444444444,16.1301811821171,0.0038120405379144,0.0038120405379144,0.0184909472597694,"ICAM1",1
"GO:0044650","adhesion of symbiont to host cell","1/6","13/18860",0.0769230769230769,241.794871794872,15.4928386687517,0.00412916319054457,0.00412916319054457,0.0184909472597694,"ICAM1",1
"GO:0070486","leukocyte aggregation","1/6","13/18860",0.0769230769230769,241.794871794872,15.4928386687517,0.00412916319054457,0.00412916319054457,0.0184909472597694,"S100A9",1
"GO:0002291","T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell","1/6","14/18860",0.0714285714285714,224.52380952381,14.9248996256129,0.00444620171237065,0.00444620171237065,0.0184909472597694,"ICAM1",1
"GO:0072672","neutrophil extravasation","1/6","14/18860",0.0714285714285714,224.52380952381,14.9248996256129,0.00444620171237065,0.00444620171237065,0.0184909472597694,"PECAM1",1
"GO:0072683","T cell extravasation","1/6","14/18860",0.0714285714285714,224.52380952381,14.9248996256129,0.00444620171237065,0.00444620171237065,0.0184909472597694,"ICAM1",1
