"GeneSymbol"
"OSBPL10"
"PRSS12"
"MTRR"
"LYZ"
"COL11A1"
"EDIL3"
"RGS4"
"TOX"
"PAXIP1-DT"
"SERTAD4"
"CLCN5"
"MYO10"
"NLGN1"
"ACAN"
"EPHA5"
"GALNT1"
"PDE5A"
"TOX-DT"
"THAP7-AS1"
"FMN2"
"NTN4"
"UNC13A"
"TBX3"
"GREM1"
"SEMA3A"
"CTSB"
"KANK4"
"SHC4"
"LINC00968"
"CDHR5"
"MYO1B"
"PSEN2"
"PPP1R3E"
"LAPTM5"
"OSBPL11"
"KLHL13"
"MFAP5"
"PCDHB3"
"SBSPON"
"CAP2"
"DLC1"
"MASP1"
"MYOCD"
"CST2"
"WNT5A"
"F11R"
"RAB3B"
"MMP14"
"ZNF682"
"TNC"
"DBP"
"LAMA4"
"APOC1"
"GAS6-AS1"
"LINC00663"
"DNHD1"
"RARA-AS1"
"ABHD6"
"FAM83H"
"SLC25A4"
"ANXA2R"
"PCDH7"
"ANKRD1"
"PLCE1"
"FKBP11"
"UGCG"
"CRISPLD2"
"CKMT2"
"ITGB1BP1"
"FGD4"
"CYP26B1"
"HGD"
"GRIA3"
"GULP1"
"REL"
"GLS"
"SLC6A6"
"RGS7"
"PRPH2"
"CALD1"
"POPDC3"
"CH25H"
"CXCL5"
"BUB3"
"NALF1"
"TMEM200A"
"PGBD3"
"BCL2L11"
"PRR16"
"PCDHB7"
"SERINC5"
"OR2H2"
"SPATA18"
"FAM27C"
"FAM27B"
"LOC105379444"
"SMURF2"
"PHTF2"
"SCD"
"CHI3L1"
"CLYBL"
"THBD"
"SLC39A8"
"ZFHX4"
"MAP1B"
"KCTD16"
"HHIP"
"CLIC4"
"SLX4IP"
"ENO2"
"FLT1"
"TIAL1"
"SRGN"
"ARSJ"
"FGF18"
"JAK3"
"AHR"
"LINC01943"
"CCNYL1"
"LINC00853"
"STX3"
"ADGRL4"
"GSG1"
"CCN4"
"WDR37"
"CACNA1A"
"DNAJB5"
"POU6F1"
"PLTP"
"KPNB1"
"SOX4"
"CHSY3"
"PPP1R14A"
"BDNF"
"ARID5B"
"LAMC2"
"ADI1"
"BZW1"
"SLC2A10"
"FAM3C"
"CASP10"
"TLE2"
"MIR155HG"
"HES1"
"APOE"
"FADS1"
"HOXB6"
"RPL14"
"FOXE1"
"LEISA1"
"MYCT1"
"ARSI"
"PRKCB"
"ZNF469"
"SUGCT-AS1"
"TRIB1"
"MAPKAPK2"
"CDKN1C"
"YBEY"
"M1AP"
"CXCL2"
"ARHGAP29"
"FDXR"
"ZFHX4-AS1"
"MEF2A"
"LINC01018"
"ST3GAL5"
"LOC105372733"
"ZNF585A"
"LRRC17"
"SHC3"
"PTPRO"
"PTGER4"
"APOLD1"
"INAFM1"
"NDFIP2"
"DOCK5"
"RBM24"
"GLIPR2"
"LRRC15"
"SEPTIN11"
"CYP4V2"
"PTGER1"
"EDNRB"
"HOXB8"
"TLE6"
"PGAM2"
"IL7R"
"TXNDC15"
"CTNNAL1"
"KMT2B"
"DDAH1"
"ZSCAN16-AS1"
"SERPINE2"
"PHACTR2"
"PRXL2A"
"KCNT2"
"FKBP14"
"SANBR"
"BNC1"
"LOC105374809"
"ZNF250"
"SLC25A23"
"CEP164"
"FAM87A"
"FAM87B"
"HP"
"ALDOB"
"LINC01140"
"LCT-AS1"
"ATP11B"
"KCTD20"
"PLPPR4"
"FASN"
"MAN2A1"
"LOC101927647"
"TYMSOS"
"SNTB1"
"LMO4"
"TAC1"
"TGIF2LY"
"CYRIA"
"BAALC"
"LOC101928196"
"PTGFRN"
"ANKRD20A12P"
"ANKRD20A1"
"ANKRD20A3P"
"ANKRD20A2P"
"ANKRD20A4P"
"ANKRD20A8P"
"ANKRD20A21P"
"ITGBL1"
"PLA2G7"
"TNFRSF11B"
"ING5"
"PSG3"
"LMO7"
"THEMIS"
"SYNJ2"
"WARS2"
"ASAP2"
"TMEM53"
"HDAC9"
"FCGR2A"
"FCGR2C"
"CCAR2"
"TMEM132A"
"SIX1"
"ZNF775"
"SLC1A1"
"DNASE1L1"
"EEPD1"
"JAG1"
"SLC19A3"
"PKHD1"
"IGFBP7"
"TMEM178B"
"KLHL12"
"IRF2BP2"
"CEL"
"NR0B1"
"DPY19L3-DT"
"IRAG1"
"NICN1"
"RAPH1"
"PNLIPRP3"
"TGFB2"
"TGFB2-OT1"
"ITGA6"
"SINHCAF"
"NPR2"
"COL8A1"
"SAA2"
"SAA1"
"SAA2-SAA4"
"NETO1"
"NFIB"
"CD52"
"PARL"
"MAFB"
"IL6-AS1"
"CD37"
"ABI2"
"DNAH1"
"CRIM1"
"PKIG"
"H19"
"LINC01111"
"GAS7"
"TEAD1"
"SLC41A2"
"NAMPT"
"FBN1"
"TMEM87B"
"PRKRA"
"MAP3K5"
"SCN9A"
"SNTB2"
"RARS2"
"TMTC1"
"STAT1"
"GLCCI1"
"BCL6"
"GPX3"
"MCOLN2"
"PSG5"
"MAP2K6"
"HHIP-AS1"
"RNF185-AS1"
"CD163"
"MACF1"
"S1PR3"
"SNHG9"
"SEC14L4"
"ERCC1"
"SLITRK4"
"FBXO9"
"LCLAT1"
"ANTXR1"
"TSPAN8"
"KCNS3"
"RGS17"
"FHL1"
"PCIF1"
"NPAS2"
"FUBP3"
"CIP2A"
"MPL"
"A4GALT"
"TAFA5"
"VMO1"
"NUDT9P1"
"KIAA0930"
"BEX5"
"PTGDR"
"TRIM10"
"RGL2"
"DIAPH3"
"SNN"
"TNNC2"
"KCTD14"
"NDUFC2-KCTD14"
"CYP1B1"
"CARD8-AS1"
"EIF4E3"
"VASH1"
"LBP"
"TDO2"
"TP73"
"CCDC81"
"SCARB1"
"JCAD"
"PYM1"
"NTPCR"
"ADAMTSL1"
"SPEN-AS1"
"SLC13A3"
"ATR"
"SH3TC2"
"GABPB1-IT1"
"GABPB1"
"UAP1L1"
"SLC8A1"
"GAGE4"
"GAGE1"
"GAGE2C"
"GAGE5"
"GAGE6"
"GAGE7"
"GAGE12I"
"GAGE2E"
"GAGE2B"
"GAGE13"
"GAGE12G"
"GAGE12J"
"GAGE2D"
"GAGE12C"
"GAGE12B"
"GAGE12E"
"GAGE12H"
"GAGE2A"
"GAGE12F"
"GAGE8"
"GAGE12D"
"CDH2"
"KAZALD1"
"SLC9A9"
"SHOX2"
"NUMA1"
"NRP2"
"BAP1"
"CDK6"
"ZC2HC1C"
"BASP1"
"NGEF"
"ECM1"
"PDE4DIP"
"LOC653513"
"PDE4DIPP2"
"VTI1A"
"SNORD89"
"AK5"
"LOC389831"
"LOC102723360"
"LINC03104"
"LOC102724843"
"LINC03105"
"SVEP1"
"PEX6"
"ZNF385C"
"TNFAIP6"
"BMP6"
"CLDN23"
"LOC389834"
"PCMTD1"
"LIMCH1"
"ARSD"
"CCDC142"
"MRPL53"
"FOLH1B"
"TSPAN9"
"GM2A"
"TTC7A"
"SP100"
"EFCAB2-AS1"
"KRT14"
"WFDC21P"
"SPINT2"
"MGST1"
"OLFML3"
"ZDHHC13"
"HEY1"
"DCK"
"BTG1"
"HERC4"
"STK39"
"UCHL1"
"DSC2"
"EPB41L4A"
"EPHA5-AS1"
"DDX11L2"
"NBEAL2"
"RNF41"
"SLC38A4"
"RHOU"
"LOC101928201"
"MMP9"
"LINC02530"
"TOLLIP"
"PGRMC2"
"ZG16B"
"ADD3"
"CSNK1D"
"HHAT"
"ADGRG1"
"LSAMP"
"PVR"
"TMEM100"
"SPAG4"
"TM4SF1"
"NAV2"
"PELO"
"TAMM41"
"CFAP68"
"EXT1"
"RNF7"
"TPM4"
"IRX3"
"PSG9"
"ZNF37BP"
"B4GALT5"
"RBM34"
"RPP25"
"EDNRA"
"MSRB3"
"PHLDA3"
"HOXB2"
"GRAMD2B"
"ADTRP"
"SPART-AS1"
"LPCAT2"
"ADAMTS16-DT"
"TDRP"
"PRKCI"
"HNRNPM"
"RPH3AL"
"OSBPL9"
"FAM107A"
"C1QTNF2"
"CXCL14"
"ADAM12"
"ITGB2"
"NPC1"
"EMC1"
"NUDT14"
"UBE2W"
"KCTD9"
"DYM"
"CD276"
"IL6"
"TOLLIP-DT"
"PWWP3A"
"CEP78"
"NOC2L"
"FMO6P"
"CUX1"
"TAPBP"
"SCML4"
"PEX5"
"LOC100506563"
"IGFBP5"
"POLB"
"ARLN"
"SLC1A3"
"CSH1"
"CSHL1"
"ZCCHC14"
"LOC100132077"
"JADE1"
"ATP10D"
"EDN1"
"TAL1"
"CCDC191"
"VPS8"
"TSHZ2"
"METTL13"
"BMAL1"
"AKR1C1"
"PLAC9"
"FAM219B"
"TMEM37"
"MOSMO"
"LBX2-AS1"
"PDK3"
"C8orf58"
"STYK1"
"HOXB3"
"DR1"
"CFHR1"
"CFH"
"GCSH"
"APLP2"
"BHMT"
"ANK3"
"NUDT13"
"ANKH"
"SFRP2"
"ASMTL-AS1"
"SSBP2"
"EFCAB5"
"P3H1"
"OIT3"
"SLC6A5"
"CLDN11"
"LIMD1"
"DPY19L2P3"
"SLC2A2"
"GNAO1"
"NPAS3"
"ST7L"
"RCN3"
"AOPEP"
"ZNF232"
"NT5C2"
"CA6"
"BTF3L4"
"TGOLN2"
"PRRT1"
"LOC100507547"
"RFESD"
"XPNPEP3"
"CCN5"
"SCUBE3"
"HYDIN"
"HYDIN2"
"PEX39"
"CEP89"
"ARHGEF28"
"TCF21"
"SAMD3"
"FAM20A"
"APCDD1L-DT"
"FUT6"
"CFAP69"
"LRRIQ3"
"CLCC1"
"SYNGR1"
"HSD3B1"
"CD83"
"LINC00630"
"GP1BB"
"SEPTIN5"
"SEPT5-GP1BB"
"MX2"
"TMEM176B"
"ZNF572"
"LINC00964"
"FZD7"
"FDFT1"
"HBP1"
"FNDC4"
"ANKRD10"
"GLUL"
"BNIPL"
"LOXL4"
"ELL"
"CDKN2B-AS1"
"TNPO1"
"ERCC6L2-AS1"
"MTURN"
"LOC101929398"
"DHRS12"
"BLOC1S4"
"ERCC6"
"ZBTB37"
"B4GALT4"
"PDLIM5"
"COL1A1"
"SSBP3"
"DPYD"
"PARP8"
"IL15RA"
"ZBTB11"
"KMT2C"
"USP26"
"GAL3ST4"
"SH3PXD2A"
"STK17B"
"CDC42EP3"
"SNX25"
"ESR2"
"DHFR"
"LINC01949"
"NEGR1"
"RAD1"
"CDH4"
"KCNE3"
"CLPTM1L"
"LINC00667"
"GALNT16"
"BHLHE40"
"ANKDD1A"
"MEST"
"FANCI"
"EHMT1"
"SLAMF6"
"COL6A1"
"ASB13"
"KICS2"
"TNFSF10"
"CALM1"
"CALM2"
"SGTB"
"EPSTI1"
"ANKRD18A"
"ALDH8A1"
"GPX7"
"KLK6"
"GFPT1"
"LACC1"
"INMT"
"AGGF1"
"TTTY9A"
"TTTY9B"
"MLF1"
"SUSD1"
"MAGI1"
"MMP12"
"ZNF836"
"NOL3"
"ANKRD36BP2"
"SLF2"
"SAMD8"
"ATP6AP1-DT"
"PDE8A"
"MAFIP"
"TEKT4P2"
"LOC100233156"
"LOC105379554"
"TPD52"
"DNAH6"
"SLC60A1"
"OLR1"
"MED24"
"CNTNAP3"
"CNTNAP3P2"
"CNTNAP3B"
"CNTNAP3C"
"TAFA4"
"KRTCAP2"
"B3GNT3"
"EFS"
"OXA1L"
"BAIAP2"
"GTF2H2"
"GTF2H2B"
"GTF2H2C"
"CAVIN2"
"SLFN12"
"USP22"
"NCOA3"
"ZMYM2"
"ZNF577"
"IRAK2"
"FHIT"
"HSD17B14"
"SH3RF1"
"ARF6"
"RORA"
"YPEL4"
"CDIN1"
"SHROOM3"
"LYPLAL1-AS1"
"SAT1"
"ZNF697"
"MPV17L"
"APOM"
"MATCAP1"
"GMDS"
"NOG"
"EREG"
"AGBL5"
"ALOX12-AS1"
"BTBD3"
"CFL2"
"PGM5-AS1"
"MLLT3"
"BLCAP"
"TPTE2P6"
"SERPINI1"
"CRHBP"
"ZNF808"
"MKLN1"
"MICB"
"AFAP1"
"RUBCN"
"IGF2R"
"GPSM2"
"MCPH1-DT"
"PTN"
"ASTN2"
"CLDN15"
"LRTM1"
"NAP1L3"
"CAV2"
"LINC01448"
"PDCD6P1"
"PRR34-AS1"
"NEK1"
"TRAM1"
"PLPP1"
"TTC13"
"HSDL2"
"DNPEP"
"LOC107984035"
"FBXO11"
"SLC33A1"
"FUS"
"PARP6"
"TOR4A"
"CCSAP"
"ARHGEF12"
"PNRC2"
"SLC47A1"
"NEK7"
"TMEM171"
"LRIG2"
"MCM10"
"PDS5B"
"LCAT"
"IGHD"
"ANPEP"
"DLGAP1-AS1"
"SNRK"
"HAPLN1"
"GIHCG"
"PXYLP1"
"MAGIX"
"MS4A5"
"CC2D1B"
"ACP5"
"SLC9A8"
"LSR"
"RCBTB2"
"MMP19"
"HIC2"
"MIAT"
"TSPAN14"
"ERRFI1"
"FCER1G"
"SNRNP70"
"SPATA1"
"EDRF1-DT"
"TMEM64"
"CALHM5"
"C1orf116"
"RECK"
"MTHFD2L"
"ABLIM1"
"TP53TG1"
"CARS2"
"KDM4B"
"MBP"
"ARHGAP32"
"ASPA"
"CASC15"
"KDM5A"
"CD1A"
"PICALM"
"GATC"
"EIF5A2"
"IVNS1ABP"
"PCBP1-AS1"
"FAM131A"
"CIZ1"
"PLSCR2"
"RNF125"
"ADAMTS2"
"LPAR1"
"PGLS"
"MTSS1"
"SRSF7"
"NPR3"
"DLGAP1"
"PSG6"
"SCIN"
"CHD2"
"MYH10"
"LINC01153"
"PTPMT1"
"CLN3"
"TSPAN11"
"KIFC2"
"ROR1"
"CCR1"
"FERMT2"
"MIR137HG"
"MIR2682"
"ZNF678"
"PDE10A"
"KIAA1671"
"RAPGEF1"
"SCRG1"
"CTTNBP2NL"
"ZNF764"
"ENPP7"
"ALB"
"IQCF3"
"IQCF4P"
"ACSM5"
"LINC01094"
"SPATS2"
"ZNF487"
"PTAR1"
"FAM216B"
"UNC5B-AS1"
"SH3RF3"
"LINC00115"
"C11orf71"
"PTGR2"
"DSCAM-AS1"
"KATNAL1"
"HOXB-AS3"
"DLG1"
"ANGPTL2"
"TMEM164"
"PTPRE"
"GNL3L"
"HK1"
"CCL26"
"LRP5L"
"PLBD1"
"PLBD1-AS1"
"OSGEPL1"
"TMEM237"
"EEF1AKMT4-ECE2"
"ECE2"
"FCN1"
"QSOX1"
"AMBRA1"
"IL6ST"
"RNF128"
"TEX13B"
"ATP1A1-AS1"
"TMC4"
"PKD1L2"
"CHD7"
"SIK3"
"TSC2"
"N4BP2"
"NDUFS1"
"SLC16A5"
"FGF1"
"CLTA"
"SF3B2"
"SNRNP200"
"RP9"
"RP9P"
"LINC00339"
"SPATA6L"
"TMSB10"
"KDM2B"
"ZSWIM7"
"FBXO36"
"BMPR1B"
"HACL1"
"SFTPA1"
"SFTPA2"
"PGM1"
"TWIST2"
"SMCO3"
"COSMOC"
"ZMIZ1"
"POP5"
"CYB5R1"
"MRPS18B"
"PAWR"
"PAOX"
"FOXC2"
"PARAIL"
"DNAAF11"
"TPH1"
"GFPT2"
"NMRK1"
"SLC27A5"
"SECTM1"
"LOC101927432"
"AGAP3"
"RAB11FIP1"
"C11orf52"
"HSPB2-C11orf52"
"PIM3"
"CHRM3"
"TCN1"
"NDN"
"NEBL"
"AMACR"
"AKIRIN2"
"LMO3"
"TCTN3"
"ABCG2"
"ART5"
"CLINT1"
"MAN1A1"
"FTX"
"EYA4"
"ICMT"
"RNF207"
"WNT1"
"ZNF506"
"HDDC2"
"APBB1IP"
"PPP4R3A"
"HPS5"
"CCNC"
"CGREF1"
"FNBP1"
"DPP7"
"PARP3"
"CARD8"
"SHISA4"
"RCL1"
"PALLD"
"WT1"
"MAN2A2"
"WDR17"
"TLE3"
"POU2F2"
"NMT2"
"INPP4B"
"LINC02918"
"RABGEF1"
"MAGT1"
"TRPM3"
"UICLM"
"ENSA"
"DERL1"
"SAMM50"
"UGT8"
"WSB1"
"RLN2"
"TC2N"
"STRIP2"
"NUCKS1"
"MCM3AP"
"MTG2"
"DVL3"
"STAG3L2"
"STAG3L1"
"STAG3L3"
"TNXB"
"TNXA"
"TXNDC12"
"ESR1"
"DDX3X"
"LY6G6E"
"PLCXD3"
"FAM177A1"
"PLCL2"
"LPAR4"
"GLRA3"
"IFNAR1"
"TRH"
"ATP10A"
"NES"
"ATP13A3-DT"
"FGD6"
"MAST4"
"SZT2"
"FAM162A"
"SETD4"
"MXRA5"
"HEXD"
"WDR4"
"SMIM17"
"LMO2"
"TCN2"
"GOLT1B"
"ACTR2"
"VWA1"
"ATAD3C"
"C1QTNF1-AS1"
"FZD8"
"OTOR"
"GLIDR"
"SMIM48"
"KLHDC10"
"NUDT3"
"RPS10-NUDT3"
"TRIM58"
"ADPRH"
"EYA3"
"OSR2"
"TAF6L"
"TNFSF15"
"PRICKLE4"
"TOMM6"
"SNHG7"
"UTRN"
"STN1"
"AKAP12"
"PATJ"
"MPHOSPH6"
"MYOZ2"
"EPC1"
"DNAAF5"
"ROBO2"
"SPG21"
"FBXL20"
"POLR1HASP"
