"Pathway_ID","Pathway_Name","Gene_Symbol","Entrez_ID"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor","CCL26","10344"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor","CCR1","1230"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor","CXCL14","9547"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor","CXCL2","2920"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor","CXCL5","6374"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor","IL6","3569"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor","IL6ST","3572"
