"EntrezID","Symbol","logFC","P.Value"
"643847","PGA4",-2.154266825,0.0132663128474518
"128966586","LOC128966586",-2.154266825,0.0132663128474518
"124906959","LOC124906959",-2.154266825,0.0132663128474518
"5222","PGA5",-2.154266825,0.0132663128474518
"643834","PGA3",-2.154266825,0.0132663128474518
"63036","CELA2A",-1.3944680625,0.0452386799271341
