"name","selected","shared name"
"ACADSB","false","ACADSB"
"ACOX3","false","ACOX3"
"ACOX1","false","ACOX1"
"ACAT2","false","ACAT2"
"ACAA2","false","ACAA2"
"ACAT1","false","ACAT1"
"ACSS3","false","ACSS3"
"ACSS1","false","ACSS1"
"ACAA1","false","ACAA1"
"ACSS2","false","ACSS2"
"ACADS","false","ACADS"
"AGXT2","false","AGXT2"
"ABAT","false","ABAT"
"ACACB","false","ACACB"
"ACACA","false","ACACA"
