"name","selected","shared name"
"RPS12","false","RPS12"
"H3C12","false","H3C12"
"H2AC12","false","H2AC12"
"POLR2H","false","POLR2H"
"H2AC8","false","H2AC8"
"RPL31","false","RPL31"
"POLR2F","false","POLR2F"
"H4C6","false","H4C6"
"TPT1","false","TPT1"
"H2AC21","false","H2AC21"
"MED15","false","MED15"
"RPL13","false","RPL13"
"H2AC13","false","H2AC13"
"MED29","false","MED29"
"RPLP2","false","RPLP2"
