ALPK1
AMZ1
ANP32A-IT1
APOC2
AVP
BET3L
BMP8B
C14ORF135
C14ORF167
C2ORF48
C5ORF43
C6ORF112
C9ORF153
CD247
CECR2
CISH
CRYBB2P1
CSHL1
CTAGE1
CTAGE10P
CTNS
CXCL5
DKKL1
DNAJA1P5
DNHD1
EN2
ERVFRD-2
FKSG2
FLJ44054
FOXP4
GALNT9
GRXCR2
HIST1H2AE
HIST1H2AH
HIST1H2AK
HIST1H3I
HLA-A
HMGA2
HNRNPCL1
HSCB
IL15RA
ILDR1
KCNT1
KCP
KIAA1654
KRBA2
KRTAP13-1
KRTAP5-9
LAT2
LGALS8
LOC100128869
LOC100130171
LOC100130175
LOC100130560
LOC100132147
LOC100132247
LOC100272228
LOC100292905
LOC100652953
LOC284014
LOC400499
LOC441666
LOC642620
LOC729305
LRRD1
LSM14A
MCART1
MGC42157
MGC70870
MRPS16
MSTO2P
MTRNR2L2
MUC6
NACAP1
O3FAR1
OLFM1
OR2L2
PARP4
PFN1P2
POLR2F
PPIAL4G
PSMD10
PTK2B
Q4E7A0
Q73P46
QKI
RNF113B
RP9P
RSPH1
RXFP4
SET
SFTPA2
SGSM2
SIM1
SLC16A12
SLFN5
SPSB4
SSTR4
SUZ12P
TAS2R4
TAT
TERF1
TERT
TIE1
TMEM184A
TNFAIP8L1
TNP2
TPM3
TRIM23
UNCX
VHL
WFDC11
WFDC5
WNT7B
XLOC_000704
XLOC_001543
XLOC_001620
XLOC_001640
XLOC_001649
XLOC_003245
XLOC_004631
XLOC_004916
XLOC_005056
XLOC_005279
XLOC_005558
XLOC_005737
XLOC_005939
XLOC_006757
XLOC_007422
XLOC_007614
XLOC_008246
XLOC_008575
XLOC_009485
XLOC_010243
XLOC_010525
XLOC_011804
XLOC_011816
XLOC_011827
XLOC_012404
XLOC_013517
XLOC_013763
XLOC_013925
XLOC_014270
XLOC_L2_003253
XLOC_L2_005418
XLOC_L2_006267
XLOC_L2_006595
XLOC_L2_007034
XLOC_L2_007147
XLOC_L2_007656
XLOC_L2_007785
XLOC_L2_007876
XLOC_L2_009172
XLOC_L2_009539
XLOC_L2_011426
XLOC_L2_011692
XLOC_L2_012902
XLOC_L2_013457
XLOC_L2_013931
XLOC_L2_015075
XLOC_L2_015641
XLOC_L2_015885
ZNF248
ZNF29P
ZNF430
ZNF467
ZNF479
ZNF676
ZNF709
ZNF726
ZNF728
ZNF732
ZNF736
ZNF737
ZNF90
C15ORF63
XLOC_003181
ZNF675
HIST1H3J
XLOC_004108
FLJ22184
HIST2H2AB
XLOC_014355
XRCC3
PRAMEF5
WFDC10B
ZNF738
ANKRD12
ATP5L2
C17ORF63
KLF17
KRTAP9-6
LHX3
LOC100129324
LOC100130417
PIAS4
TLN2
USP6
XLOC_002132
XLOC_002573
ADH4
LOC100507654
MED29
RPL31
ALDH3A1
C11ORF20
C3ORF51
HCG11
LOC100127904
LOC100506447
MTRNR2L1
PFKL
SLC13A2
XLOC_L2_008009
SUSD4
XLOC_L2_013845
LOC100506769
XLOC_L2_001192
XLOC_L2_009320
XLOC_012895
SNRPC
FLJ43860
TULP2
XLOC_002904
ZNF493
PABPC3
XLOC_L2_002076
LOC442459
RBAK-LOC389458
ZNF880
ARID1B
C21ORF88
LOC100130430
XLOC_005464
XLOC_008981
CHTF8
LRP2
XLOC_L2_008313
XLOC_L2_013302
ACSBG1
KCNQ2
LYNX1
ANP32C
SNORD56B
LOC646214
GUCY2GP
CFC1
DDX25
GPR3
LOC100505554
LOC100507114
PGK1
Q442D3
RPS10P7
SEL1L
TSPAN11
XLOC_005938
XLOC_011451
ADAMTSL5
ANKRD45
CBX3
CDK11B
CSNK1A1L
CTSB
GLI4
HERC6
LINCROR
LOC338797
PLEC
PRSS38
PTRF
RABL2B
WDR38
XLOC_002563
XLOC_007171
XLOC_010996
ZNF763
XLOC_013528
AS3MT
C16ORF78
LOC100132352
MGC10814
NKAPP1
ATP8B5P
AGAP7
EPS15
TPT1
XLOC_002192
XLOC_L2_003065
HIST1H4A
LOC100505928
MED15
OR8D1
PDZRN3
TPO
XLOC_L2_000791
FAT3
KRT71
XLOC_L2_007310
KRTAP5-2
LOC100288420
FAM133B
MUC12
XLOC_001320
XLOC_002111
BTN2A1
ANKRD11
CDH22
LOC283038
SETP20
XLOC_010897
KCTD19
LOC284263
XLOC_004058
C5ORF38
MAST1
NEURL
XLOC_L2_008910
FAM74A4
NKX6-3
HNRNPA3
XLOC_L2_012374
FBRSL1
XLOC_005944
XLOC_008047
LOC100134868
FLJ45671
XLOC_006865
POLR2H
NBPF3
RNF126
LRP3
ZNF483
C19ORF21
LOC100507391
XLOC_012281
XLOC_001784
CNPY1
SLC9A5
HCN2
TBC1D3B
TFDP3
AADACL3
LOC339894
SNORD79
TMEM151B
XLOC_L2_010020
LOC100506104
LOC494150
LOC100509196
XLOC_006681
A4GALT
ASTN2
DNAAF2
MTRNR2L9
SLC9A3R2
XLOC_002383
MYO7A
XLOC_007436
XLOC_005774
LDLRAD1
LOC100131138
APOL4
CDX1
XLOC_003160
PFDN6
XLOC_010915
CDC42EP5
PCSK1N
RGS4
SIGLEC6
UTS2R
ZNF85
C2ORF61
CAGE1
CALY
DLL4
FAM66D
FLJ31958
LOC100289186
LOC100507003
LOC100507547
LOC145837
LOC146795
LOC647979
MRP63
PIEZO1
SFTA1P
SIX3
TIMM8A
XLOC_000918
XLOC_008587
XLOC_009677
XLOC_010647
XLOC_011235
XLOC_012020
XLOC_L2_001011
XLOC_L2_013873
ZNF692
CROCC
POR
FBXW4
XLOC_011633
LOC388387
VN1R5
CKLF
IP6K1
LOC388946
XLOC_008058
XLOC_L2_004640
XLOC_009974
NCOR1
ELFN1
LOC100270679
LOC257152
SH2D6
ABHD16B
ERBB4
FGF3
NYNRIN
C11ORF95
CPN2
LOC100506124
OPRD1
LINC00442
RPS12
LOC401480
CCL17
KRTAP2-4
XLOC_003588
XLOC_L2_007986
LOC285758
LCE3B
PSMC1
PTH2
TUSC5
XLOC_011150
XLOC_012248
GGN
XLOC_L2_015596
BPNT1
DYTN
KCNMB1
WASH1
XLOC_L2_001683
XLOC_L2_005692
XLOC_L2_008163
GPR161
LOC100506866
LOC340515
XLOC_L2_007834
PLCD4
PYY2
DEFB121
EIF2C1
FCN3
IGSF9B
LINC00371
LOC170425
LOC647070
MYADML
OMP
RPL13
WNT9B
XLOC_001995
XLOC_002675
XLOC_006844
XLOC_010778
ACBD5
AFF3
GYPA
HERC3
HTR6
LOC285626
PCDHA12
TPSG1
XLOC_005832
XLOC_006935
XLOC_L2_009887
NPPA-AS1
LOC643659
XLOC_006080
ASRGL1
LOC729177
ARHGEF37
FBXL19-AS1
LOC145820
LOC441025
XLOC_001878
XLOC_002664
XLOC_003546
C7ORF61
CYP4F30P
LOC100233209
XLOC_008875
IGSF23
XLOC_002554
XLOC_006658
RPLP2
XLOC_000731
