"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","significant"
2.826067125,5.288643825,6.34782219967954,5.15421892702193e-05,0.87173304712722,-3.41853302537389,"A_32_P147622",FALSE
1.311106875,11.00575475,5.4796686745026,0.000183476041421553,0.955680307052298,-3.51938460731048,"A_23_P117582",FALSE
1.03679185,4.22662721666667,5.4140768803247,0.000202815025583052,0.955680307052298,-3.52822787571563,"A_33_P3377304",FALSE
1.911557025,4.1184286,5.31296270723684,0.000236978723515973,0.955680307052298,-3.54223883285913,"A_32_P179998",FALSE
0.567692537500001,7.73868226666667,5.08730228743486,0.000337184412472799,0.955680307052298,-3.57523706037818,"A_21_P0014476",FALSE
0.883114112499999,4.04229494166667,4.77289268990517,0.000557784755203269,0.955680307052298,-3.62547911685459,"A_19_P00318310",FALSE
2.3741789,3.52801153333333,4.6625425025143,0.00066774181815051,0.955680307052298,-3.6443706973407,"A_21_P0013987",FALSE
0.883076249999998,9.686983,4.62358749189026,0.00071181492516115,0.955680307052298,-3.65120280715366,"A_24_P261734",FALSE
1.5000510125,6.27692415833333,4.59926351869468,0.000740875763388112,0.955680307052298,-3.65551272231473,"A_21_P0000190",FALSE
1.17819355,2.70957831666667,4.55145568601453,0.000801684083518617,0.955680307052298,-3.6640829478831,"A_21_P0004926",FALSE
1.784618175,2.619914375,4.52624992309263,0.000835831931309862,0.955680307052298,-3.66865485768111,"A_21_P0012111",FALSE
0.902888899999996,7.30244000833333,4.52369851917045,0.000839372525142379,0.955680307052298,-3.6691197095247,"A_33_P3326545",FALSE
3.3421695375,4.765668175,4.50638933718135,0.000863811702445756,0.955680307052298,-3.67228343095682,"A_23_P125435",FALSE
1.494335475,4.529946525,4.47626309520153,0.000908143362310795,0.955680307052298,-3.6778319097275,"A_24_P339944",FALSE
4.1767389,5.116585125,4.36169401217756,0.00109973681003724,0.955680307052298,-3.69942744754088,"A_23_P56578",FALSE
2.355091425,4.8619026,4.3514085706365,0.00111889308432918,0.955680307052298,-3.7014049995401,"A_23_P86751",FALSE
1.3347370125,3.325836325,4.34104880229095,0.0011385408575268,0.955680307052298,-3.70340337437377,"A_33_P3375556",FALSE
0.9465783125,6.24991378333333,4.33600464589766,0.00114823760445626,0.955680307052298,-3.70437875791775,"A_33_P3226407",FALSE
1.80663335,7.17952543333333,4.29593931923479,0.00122839235017087,0.955680307052298,-3.71218168623795,"A_23_P133474",FALSE
0.677159062499998,12.359562375,4.26357653552596,0.00129739863369846,0.955680307052298,-3.71855694081136,"A_24_P236799",FALSE
0.9449363625,8.114377375,4.23199649630167,0.00136864581918909,0.955680307052298,-3.72484086902173,"A_23_P137715",FALSE
0.866827874999998,9.85918675,4.22697094339455,0.00138035526024008,0.955680307052298,-3.72584662964452,"A_23_P363399",FALSE
0.667309024999998,8.84332828333333,4.09558347781605,0.00172662446019542,0.955680307052298,-3.75270810757512,"A_24_P168574",FALSE
1.4383321625,4.15628620833333,4.07072800423553,0.00180172819761135,0.955680307052298,-3.7579137827539,"A_21_P0012495",FALSE
1.702303425,8.42577065,4.06917891832938,0.00180652003231438,0.955680307052298,-3.7582395393325,"A_33_P3372910",FALSE
1.2977339125,5.27851869166667,4.05629690854929,0.00184688547505336,0.955680307052298,-3.76095450155099,"A_33_P3772150",FALSE
1.368178,4.81423624166667,4.03871884754897,0.00190348476816724,0.955680307052298,-3.7646765261553,"A_33_P3290959",FALSE
1.732369725,3.96065965,3.99247260678422,0.00206116921453492,0.955680307052298,-3.77456481326974,"A_21_P0014277",FALSE
1.2296051,2.77722400833333,3.97805919706448,0.00211304132320365,0.955680307052298,-3.7776752096139,"A_21_P0011563",FALSE
0.761494187499999,4.20293051666667,3.95428185249707,0.00220159508972001,0.955680307052298,-3.78283610466761,"A_23_P80954",FALSE
0.802619525,5.19815715833333,3.94886933589142,0.0022222857041456,0.955680307052298,-3.7840160871588,"A_19_P00320664",FALSE
1.3560714875,4.48404583333333,3.93326201328182,0.002283085454672,0.955680307052298,-3.78742943917462,"A_23_P373464",FALSE
2.10915115,2.87740504166667,3.8773686088836,0.00251534818845757,0.955680307052298,-3.79978544278436,"A_21_P0003298",FALSE
1.2579302,2.52894848333333,3.85765557606994,0.00260299306196133,0.955680307052298,-3.80419269345742,"A_21_P0004798",FALSE
1.9207734625,3.33334374166667,3.82655850516141,0.00274773278655901,0.955680307052298,-3.81119767439899,"A_21_P0012086",FALSE
0.316788124999999,6.25943785833333,3.81407889087029,0.00280813719772923,0.955680307052298,-3.81402699640736,"A_21_P0011627",FALSE
0.722290187500002,7.54925299166667,3.79297999338838,0.00291340363315231,0.955680307052298,-3.81883412758284,"A_21_P0004863",FALSE
1.1077804875,7.057401575,3.79125277063527,0.00292219977589014,0.955680307052298,-3.81922897401501,"A_24_P339514",FALSE
0.6606849625,4.62104334166667,3.78840234730966,0.00293677606331449,0.955680307052298,-3.8198810232447,"A_21_P0008387",FALSE
1.0629382125,2.4029925,3.77771426246385,0.00299210450651088,0.955680307052298,-3.82233082669906,"A_21_P0010909",FALSE
2.0438598,5.45567105,3.73751820134798,0.00321001091205985,0.955680307052298,-3.83161274558128,"A_33_P3369371",FALSE
2.900278825,5.83753631666667,3.72588103316011,0.00327610781866575,0.955680307052298,-3.83432022506698,"A_24_P926960",FALSE
0.671908612499998,8.051785475,3.69965756151065,0.00343024996087706,0.955680307052298,-3.84045474356343,"A_23_P24157",FALSE
0.692342199999999,7.66611849166667,3.69060037317276,0.00348520995881681,0.955680307052298,-3.84258427864736,"A_33_P3287825",FALSE
