"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A_33_P3245021",-1.279331525,1.99881056666667,-7.72898123964137,8.38207786483501e-06,0.425298248783863,-3.30564888034872
"A_23_P380871",-1.4076175375,1.96582403333333,-6.72168788557155,3.07871581678266e-05,0.781054809138676,-3.38305744168384
"A_32_P147622",2.826067125,5.288643825,6.34782219967954,5.15421892702193e-05,0.87173304712722,-3.41853302537389
"A_24_P99175",-0.849466675000001,1.63152175833333,-5.71256693170564,0.000129176248056718,0.955680307052298,-3.48947655380448
"A_23_P346327",-1.0124592375,1.83779015,-5.63474500654954,0.000145122887884825,0.955680307052298,-3.49921769071803
"A_23_P117582",1.311106875,11.00575475,5.4796686745026,0.000183476041421553,0.955680307052298,-3.51938460731048
"A_23_P23090",-1.189534175,1.98799266666667,-5.46948690386735,0.000186344983217783,0.955680307052298,-3.52074489672834
"A_33_P3377304",1.03679185,4.22662721666667,5.4140768803247,0.000202815025583052,0.955680307052298,-3.52822787571563
"A_32_P179998",1.911557025,4.1184286,5.31296270723684,0.000236978723515973,0.955680307052298,-3.54223883285913
"A_21_P0014476",0.567692537500001,7.73868226666667,5.08730228743486,0.000337184412472799,0.955680307052298,-3.57523706037818
"A_33_P3331021",-0.7917339375,1.714322525,-5.08104072747922,0.000340535169478434,0.955680307052298,-3.57618799529506
"A_33_P3405995",-1.1185590625,6.92027935833333,-5.03651126509217,0.000365402810579414,0.955680307052298,-3.58300725385124
"A_33_P3301514",-1.2317619,6.50148015,-4.9776312369891,0.000401266750886318,0.955680307052298,-3.59217836850706
"A_33_P3355937",-1.097389625,3.51912189166667,-4.96109222995289,0.000411995844089342,0.955680307052298,-3.59478645862673
"A_33_P3215527",-0.9344302375,1.83011950833333,-4.91288962607512,0.000445027732902782,0.955680307052298,-3.60246872582531
"A_33_P3324298",-0.874569462500002,5.06998369166667,-4.88171385495725,0.000467870219356203,0.955680307052298,-3.60750224072729
"A_33_P3316115",-0.6668829,1.7676957,-4.83792168107974,0.000502065857681031,0.955680307052298,-3.6146599039723
"A_21_P0008040",-0.9934832125,4.68148113333333,-4.79801065745365,0.000535527871143737,0.955680307052298,-3.62127290554202
"A_19_P00318310",0.883114112499999,4.04229494166667,4.77289268990517,0.000557784755203269,0.955680307052298,-3.62547911685459
"A_32_P208350",-0.849434000000002,9.44864516666667,-4.71202602734614,0.000615854090557296,0.955680307052298,-3.63581549239859
"A_21_P0013987",2.3741789,3.52801153333333,4.6625425025143,0.00066774181815051,0.955680307052298,-3.6443706973407
"A_23_P314755",-1.4449585125,3.901266625,-4.64042620288771,0.000692400127873769,0.955680307052298,-3.64823898251936
"A_24_P261734",0.883076249999998,9.686983,4.62358749189026,0.00071181492516115,0.955680307052298,-3.65120280715366
"A_33_P3383491",-1.1648451875,1.73272344166667,-4.61198085151469,0.000725529562978835,0.955680307052298,-3.65325513845565
"A_21_P0000190",1.5000510125,6.27692415833333,4.59926351869468,0.000740875763388112,0.955680307052298,-3.65551272231473
"A_21_P0004926",1.17819355,2.70957831666667,4.55145568601453,0.000801684083518617,0.955680307052298,-3.6640829478831
"A_21_P0012111",1.784618175,2.619914375,4.52624992309263,0.000835831931309862,0.955680307052298,-3.66865485768111
"A_33_P3373690",-1.44867,2.07773105,-4.52427039257316,0.000838577568564417,0.955680307052298,-3.66901548416432
"A_33_P3326545",0.902888899999996,7.30244000833333,4.52369851917045,0.000839372525142379,0.955680307052298,-3.6691197095247
"A_23_P125435",3.3421695375,4.765668175,4.50638933718135,0.000863811702445756,0.955680307052298,-3.67228343095682
"A_33_P3284311",-1.02808615,3.63943948333333,-4.49768899216058,0.000876376589665364,0.955680307052298,-3.67388030789044
"A_24_P339944",1.494335475,4.529946525,4.47626309520153,0.000908143362310795,0.955680307052298,-3.6778319097275
"A_23_P56578",4.1767389,5.116585125,4.36169401217756,0.00109973681003724,0.955680307052298,-3.69942744754088
"A_23_P86751",2.355091425,4.8619026,4.3514085706365,0.00111889308432918,0.955680307052298,-3.7014049995401
"A_23_P34942",-0.741402100000002,6.43834115833333,-4.34530678307789,0.00113042208669609,0.955680307052298,-3.70258122544438
"A_33_P3375556",1.3347370125,3.325836325,4.34104880229095,0.0011385408575268,0.955680307052298,-3.70340337437377
"A_33_P3226407",0.9465783125,6.24991378333333,4.33600464589766,0.00114823760445626,0.955680307052298,-3.70437875791775
"A_23_P133474",1.80663335,7.17952543333333,4.29593931923479,0.00122839235017087,0.955680307052298,-3.71218168623795
"A_24_P236799",0.677159062499998,12.359562375,4.26357653552596,0.00129739863369846,0.955680307052298,-3.71855694081136
"A_23_P137715",0.9449363625,8.114377375,4.23199649630167,0.00136864581918909,0.955680307052298,-3.72484086902173
"A_23_P363399",0.866827874999998,9.85918675,4.22697094339455,0.00138035526024008,0.955680307052298,-3.72584662964452
"A_21_P0008912",-1.8655573375,2.18507605833333,-4.19096067676304,0.00146737637324332,0.955680307052298,-3.73309979822163
"A_21_P0004982",-1.1708895875,1.75612696666667,-4.12569471236019,0.00163998325255623,0.955680307052298,-3.7464548953165
"A_21_P0003420",-1.1761551125,2.19954514166667,-4.12249920885325,0.00164895924074863,0.955680307052298,-3.74711574972175
"A_24_P168574",0.667309024999998,8.84332828333333,4.09558347781605,0.00172662446019542,0.955680307052298,-3.75270810757512
"A_21_P0012495",1.4383321625,4.15628620833333,4.07072800423553,0.00180172819761135,0.955680307052298,-3.7579137827539
"A_33_P3372910",1.702303425,8.42577065,4.06917891832938,0.00180652003231438,0.955680307052298,-3.7582395393325
"A_23_P110234",-1.00600155,5.90907795,-4.06183404214275,0.001829421263536,0.955680307052298,-3.75978620134427
