"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","significant"
-1.279331525,1.99881056666667,-7.72898123964137,8.38207786483501e-06,0.425298248783863,-3.30564888034872,"A_33_P3245021",FALSE
-1.4076175375,1.96582403333333,-6.72168788557155,3.07871581678266e-05,0.781054809138676,-3.38305744168384,"A_23_P380871",FALSE
-0.849466675000001,1.63152175833333,-5.71256693170564,0.000129176248056718,0.955680307052298,-3.48947655380448,"A_24_P99175",FALSE
-1.0124592375,1.83779015,-5.63474500654954,0.000145122887884825,0.955680307052298,-3.49921769071803,"A_23_P346327",FALSE
-1.189534175,1.98799266666667,-5.46948690386735,0.000186344983217783,0.955680307052298,-3.52074489672834,"A_23_P23090",FALSE
-0.7917339375,1.714322525,-5.08104072747922,0.000340535169478434,0.955680307052298,-3.57618799529506,"A_33_P3331021",FALSE
-1.1185590625,6.92027935833333,-5.03651126509217,0.000365402810579414,0.955680307052298,-3.58300725385124,"A_33_P3405995",FALSE
-1.2317619,6.50148015,-4.9776312369891,0.000401266750886318,0.955680307052298,-3.59217836850706,"A_33_P3301514",FALSE
-1.097389625,3.51912189166667,-4.96109222995289,0.000411995844089342,0.955680307052298,-3.59478645862673,"A_33_P3355937",FALSE
-0.9344302375,1.83011950833333,-4.91288962607512,0.000445027732902782,0.955680307052298,-3.60246872582531,"A_33_P3215527",FALSE
-0.874569462500002,5.06998369166667,-4.88171385495725,0.000467870219356203,0.955680307052298,-3.60750224072729,"A_33_P3324298",FALSE
-0.6668829,1.7676957,-4.83792168107974,0.000502065857681031,0.955680307052298,-3.6146599039723,"A_33_P3316115",FALSE
-0.9934832125,4.68148113333333,-4.79801065745365,0.000535527871143737,0.955680307052298,-3.62127290554202,"A_21_P0008040",FALSE
-0.849434000000002,9.44864516666667,-4.71202602734614,0.000615854090557296,0.955680307052298,-3.63581549239859,"A_32_P208350",FALSE
-1.4449585125,3.901266625,-4.64042620288771,0.000692400127873769,0.955680307052298,-3.64823898251936,"A_23_P314755",FALSE
-1.1648451875,1.73272344166667,-4.61198085151469,0.000725529562978835,0.955680307052298,-3.65325513845565,"A_33_P3383491",FALSE
-1.44867,2.07773105,-4.52427039257316,0.000838577568564417,0.955680307052298,-3.66901548416432,"A_33_P3373690",FALSE
-1.02808615,3.63943948333333,-4.49768899216058,0.000876376589665364,0.955680307052298,-3.67388030789044,"A_33_P3284311",FALSE
-0.741402100000002,6.43834115833333,-4.34530678307789,0.00113042208669609,0.955680307052298,-3.70258122544438,"A_23_P34942",FALSE
-1.8655573375,2.18507605833333,-4.19096067676304,0.00146737637324332,0.955680307052298,-3.73309979822163,"A_21_P0008912",FALSE
-1.1708895875,1.75612696666667,-4.12569471236019,0.00163998325255623,0.955680307052298,-3.7464548953165,"A_21_P0004982",FALSE
-1.1761551125,2.19954514166667,-4.12249920885325,0.00164895924074863,0.955680307052298,-3.74711574972175,"A_21_P0003420",FALSE
-1.00600155,5.90907795,-4.06183404214275,0.001829421263536,0.955680307052298,-3.75978620134427,"A_23_P110234",FALSE
-0.804988837500002,3.92073255,-4.0465290745195,0.0018781173336367,0.955680307052298,-3.76302029444772,"A_33_P3307008",FALSE
-0.938740162499999,5.076422475,-3.98306431103178,0.00209487660273526,0.955680307052298,-3.77659357029434,"A_33_P3403728",FALSE
-1.3512267125,2.35764614166667,-3.96566547342887,0.00215872823078479,0.955680307052298,-3.78036064737489,"A_21_P0013451",FALSE
-1.022482375,1.81507505833333,-3.94735118571459,0.00222812534473945,0.955680307052298,-3.78434740518168,"A_33_P3367356",FALSE
-0.778479774999999,6.89647288333333,-3.94561439852194,0.00223482551230564,0.955680307052298,-3.78472662416937,"A_23_P254816",FALSE
-1.05145285,2.39516010833333,-3.94535723468051,0.00223581937266426,0.955680307052298,-3.78478279151602,"A_21_P0008185",FALSE
-0.7832997,1.634096925,-3.92082184108772,0.00233278169989239,0.955680307052298,-3.79016163306872,"A_21_P0004657",FALSE
-0.375985875000005,11.480670625,-3.90197729573914,0.00241020875474898,0.955680307052298,-3.79431987507479,"A_23_P92786",FALSE
-0.6614826375,5.032937825,-3.90034388743129,0.00241704423965359,0.955680307052298,-3.7946814099234,"A_23_P9340",FALSE
-0.3583569375,8.586405375,-3.89627231945271,0.00243417052603122,0.955680307052298,-3.7955833706588,"A_33_P3278868",FALSE
-2.0680985625,3.520668675,-3.88078881186106,0.00250045572908209,0.955680307052298,-3.79902341519865,"A_33_P3367196",FALSE
-0.451637875000001,10.2524018333333,-3.86634650547966,0.00256396946743826,0.955680307052298,-3.80224647470632,"A_33_P3215028",FALSE
-0.4334473625,1.57517896666667,-3.8648446728733,0.00257066937909233,0.955680307052298,-3.80258243120921,"A_21_P0008375",FALSE
-1.631473475,4.11773149166667,-3.85773007846331,0.00260265593452718,0.955680307052298,-3.80417598827748,"A_21_P0011629",FALSE
-1.4134194,2.42213025,-3.84253109795963,0.00267237702614555,0.955680307052298,-3.8075916085688,"A_21_P0008117",FALSE
-0.786815562499999,8.60219104166667,-3.84194169163746,0.0026751193832064,0.955680307052298,-3.80772437402975,"A_32_P18547",FALSE
-2.8811729375,4.12540756666667,-3.82573436924314,0.00275168004862962,0.955680307052298,-3.81138419799764,"A_33_P3511265",FALSE
-1.761122675,4.73648314166667,-3.81085918758989,0.00282394311273007,0.955680307052298,-3.81475864190489,"A_23_P397320",FALSE
-0.566284100000001,4.12425444166667,-3.78771458604191,0.00294030432691788,0.955680307052298,-3.82003843373756,"A_33_P3359438",FALSE
