"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","5/47","90/9512",0.0555555555555556,11.2434988179669,6.88017899624766,7.60311881111279e-05,0.000250769532717404,0.000103902269994893,"2353/3725/1432/4790/5970",5
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","7/47","214/9512",0.0327102803738318,6.62000397693378,5.8593636070086,7.74064881001046e-05,0.000250903789014132,0.000103957896903952,"2353/3725/1432/7124/5599/4790/5970",7
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","8/47","298/9512",0.0268456375838926,5.43310009995716,5.47889877293906,9.16175855060523e-05,0.000291934001273523,0.000120958096832255,"3576/3569/7124/2920/2921/6374/3627/6347",8
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","4/47","50/9512",0.08,16.1906382978723,7.58876778867145,0.000102023355909056,0.000317882019949118,0.00013170923558922,"3576/3569/7124/6347",4
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","7/47","224/9512",0.03125,6.32446808510638,5.68251832185219,0.000103142570302639,0.000317882019949118,0.00013170923558922,"2353/3725/3569/7124/5599/4790/5970",7
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","7/47","226/9512",0.0309734513274336,6.2684993409904,5.64844000990718,0.000109044513074432,0.000330651104161179,0.00013699989758078,"1392/4158/2353/3725/5599/4790/5970",7
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","7/47","227/9512",0.0308370044052863,6.24088480644859,5.63155460265247,0.000112097183161252,0.000334512229116117,0.000138599691795032,"3576/1432/3569/7124/6347/4790/5970",7
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","5/47","110/9512",0.0454545454545455,9.19922630560928,6.09481886715197,0.000196706522242901,0.000577825409088523,0.000239412543519321,"3162/3569/3643/4790/5970",5
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","7/47","253/9512",0.0276679841897233,5.59952905558826,5.22508423080017,0.000219548583469041,0.000635002056802766,0.000263102755898123,"3725/3576/1432/7124/5599/4790/5970",7
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","6/47","183/9512",0.0327868852459016,6.63550749912801,5.42428801103619,0.000260461528783459,0.000741920718352885,0.000307402761243636,"9021/3569/7124/6347/4790/5970",6
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","5/47","120/9512",0.0416666666666667,8.43262411347518,5.77371658377801,0.000295229995573303,0.000828406554743001,0.000343236758404155,"3725/1432/5599/4790/5970",5
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","5/47","122/9512",0.040983606557377,8.29438437391001,5.71396366480405,0.000318761917090185,0.000881282947249336,0.000365145230103308,"2353/8651/9021/1432/5599",5
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","5/47","125/9512",0.04,8.09531914893617,5.62684877155885,0.000356697674730043,0.000971871925351422,0.000402679297178081,"1432/7124/5599/4790/5970",5
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","7/47","278/9512",0.0251798561151079,5.09597428440227,4.88412077711516,0.000389902637907062,0.00104716708466468,0.000433876619625904,"3303/3304/1432/6647/3569/7124/5599",7
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","4/47","77/9512",0.051948051948052,10.5134014921249,5.9062516416374,0.000543830021347438,0.00144000061990589,0.000596640794361904,"4616/10912/4790/5970",4
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","6/47","217/9512",0.0276497695852535,5.59584272967938,4.82583022531693,0.000646717732925623,0.00168865185819468,0.000699665383574505,"2353/3725/3320/3326/4790/5970",6
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","4/47","83/9512",0.0481927710843374,9.75339656498334,5.64396800624275,0.00072266698779588,0.00186111498226884,0.000771122669025164,"3569/3627/4790/5970",4
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","3/47","37/9512",0.0810810810810811,16.409430707303,6.61758544625801,0.00078091848768979,0.00198395507683352,0.000822019460726095,"4616/10912/5468",3
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","4/47","91/9512",0.043956043956044,8.89595510872107,5.33308585765081,0.00102119469938481,0.0025597947131246,0.00106060923164177,"2353/3725/4790/5970",4
