gene,logFC,P.Value,adj.P.Val
1/2-SBSRNA4,0.860752449999999,0.0905933271591074,0.660764537597535
A1BG,-0.635023416666668,0.0253917975370607,0.41939923484495
A1BG-AS1,-0.438091500000004,0.122328389653731,0.715118303946302
A1CF,-0.592343316666669,0.1532126386062,0.747368851714348
A2LD1,-0.833113416666668,0.0129068751584724,0.318058250930417
A2M,-0.414583500000004,0.392134707832934,0.803254331095102
A2ML1,-0.0820131500000016,0.928088289540846,0.984831580826562
A2MP1,-0.370966766666667,0.609093885644507,0.88827358771317
A4GALT,1.49537166666666,0.00140885057230469,0.138803241142073
A4GNT,-0.362442750000001,0.167652983489337,0.758064140713944
AA06,0.0243492666666656,0.699477886714651,0.923473143705528
AAA1,0.151621666666667,0.300429533918506,0.793368891912886
AAAS,-0.333725583333338,0.125992271663185,0.721444743473464
AACS,-0.973925833333337,0.134915976004472,0.731357019924244
AACSP1,-1.0061789,0.0422193538531756,0.51159438790156
AADAC,-1.08359966666667,0.159923700645906,0.751649939605895
AADACL2,-0.568882216666667,0.327059769281529,0.793368891912886
AADACL3,0.590958916666661,0.0013561174170947,0.136942982610309
AADACL4,-0.321932616666667,0.470562783425575,0.831269986977235
AADAT,-0.624610583333335,0.35538899819167,0.794805159682959
AAGAB,-0.119153250000004,0.58924263911447,0.879821525809811
AAK1,-0.398490816666666,0.0115671950160738,0.302961851940229
AAMP,-0.204255,0.525210255519151,0.85252289515323
AANAT,1.64835235,0.177426291605448,0.764310850823812
AARS,-0.417891616666672,0.193911158001569,0.774064656201655
AARS2,-0.266302000000005,0.112644653176823,0.700509807963128
AARSD1,-0.279902983333336,0.381362809127244,0.799583405249289
AASDH,-0.206891349999998,0.438608790733099,0.819025888157174
AASDHPPT,-0.264288833333339,0.240090302470538,0.793368891912886
AASS,-0.705519733333333,0.372224544919034,0.797179950911463
AATF,-0.223009999999999,0.175664499326782,0.763439067396821
AATK,-0.771303000000001,0.235018476514153,0.793368891912886
AATK-AS1,0.0478431166666655,0.874598541887774,0.970087374404434
ABAT,-0.538112933333333,0.258139661666506,0.793368891912886
ABCA1,-0.463243850000004,0.242395829629987,0.793368891912886
ABCA10,1.0220592,0.136411936552143,0.732669955529539
ABCA11P,-0.497475316666669,0.0371898697442704,0.483855487618559
ABCA12,-1.49107261666667,0.0216544982279868,0.39152745827539
ABCA13,0.530770466666664,0.371697919842216,0.797068016971025
ABCA17P,-0.0416971500000007,0.536324218809839,0.857233242551152
ABCA2,0.298403066666664,0.319606297891311,0.793368891912886
ABCA3,-0.439912666666666,0.391821814883878,0.803182093580745
ABCA4,0.242262533333333,0.320536518609079,0.793368891912886
ABCA5,-0.446616166666669,0.0286046993441258,0.435359461585498
ABCA6,-0.580954133333334,0.537093546809983,0.857522733049267
ABCA7,0.313437383333332,0.619484053192182,0.893105284569108
ABCA8,-0.537401500000006,0.498250463775394,0.844295128547755
ABCA9,0.155008166666665,0.284986590483897,0.793368891912886
ABCB1,0.466621799999999,0.480006042972981,0.835433280628363
ABCB10,0.819570266666664,0.0113294950355592,0.300652326678472
ABCB11,0.269573249999999,0.415449842459967,0.811058992006577
ABCB4,-0.235908266666667,0.58421710277904,0.878299009715725
ABCB5,-0.0657844833333341,0.372237326963091,0.797179950911463
ABCB6,-0.513663833333336,0.311554189567907,0.793368891912886
ABCB7,-0.288136666666674,0.202018294793061,0.777238388429558
ABCB8,-0.247317466666672,0.661342463770456,0.908169922521033
ABCB9,0.628755299999998,0.133770664340572,0.730321936894083
ABCC1,-0.489151166666671,0.105486031753223,0.688039049379971
ABCC10,0.14669888333333,0.459753623865528,0.827122161099927
ABCC11,-0.306853183333334,0.308569692385793,0.793368891912886
ABCC12,0.131180083333333,0.32339737516727,0.793368891912886
ABCC13,-0.249010383333334,0.370535805107131,0.796953433409984
ABCC2,0.200378816666665,0.722599372753391,0.931865813411839
ABCC3,-0.748787116666673,0.0732329785148471,0.616514734706283
ABCC4,-0.0706132166666666,0.855343913084492,0.964903356534759
ABCC5,-0.549768833333342,0.0177980448876711,0.364576099941681
ABCC6,0.306744466666663,0.149814130645868,0.745217836930174
ABCC6P1,0.171642883333333,0.458845353720766,0.826839642180469
ABCC8,0.332284099999999,0.290783503535067,0.793368891912886
ABCC9,0.462630049999998,0.356822284132975,0.794805159682959
ABCD1,-0.497944833333333,0.112350833435192,0.700181630349739
ABCD2,0.0366727333333325,0.890190342041565,0.974814959035011
ABCD3,0.366939033333332,0.0732231897881868,0.616514734706283
ABCD4,0.108357666666659,0.532109020892821,0.855462364137384
ABCE1,-0.484634000000005,0.238372150731414,0.793368891912886
ABCF1,-0.239113750000003,0.0727276122500277,0.614713696144287
ABCF2,-0.301371750000001,0.341094815374068,0.793533792973492
ABCF3,-0.235205333333338,0.087964856274342,0.654096664394084
ABCG1,-0.00876301666666901,0.980030110905583,0.995490536670705
ABCG2,0.537692583333333,0.080730024763165,0.635497070922583
ABCG4,-1.2977316,0.0803786767229093,0.634464060147666
ABCG5,-0.510361283333334,0.005829699646688,0.227305722163897
ABCG8,0.289100683333333,0.295734007304713,0.793368891912886
ABHD1,-0.260499533333334,0.340617503781543,0.793533792973492
ABHD10,0.00891703333333282,0.864298740772309,0.967691289999503
ABHD11,-0.464874000000005,0.335617752154242,0.793433115436606
ABHD11-AS1,-0.154027516666671,0.802774435367053,0.951202498138083
ABHD12,-0.876925833333333,0.167302882472829,0.757996646239198
ABHD12B,0.6129096,0.125028043851617,0.719741084296255
ABHD13,0.478367749999998,0.478032661000794,0.835080020193469
ABHD14A,-0.1172255,0.634697204076517,0.899776520288296
ABHD14B,-0.309994083333335,0.034628211315247,0.47028929708895
ABHD15,0.184166166666664,0.238775332881355,0.793368891912886
ABHD16A,-0.482515050000001,0.0436202020965576,0.517341213458313
ABHD16B,0.598580366666664,0.00172741920472633,0.148342238111518
ABHD2,0.360783133333327,0.387327881744244,0.801650330119137
ABHD3,0.181386266666664,0.717050327396798,0.929628892612236
ABHD4,-0.217077750000003,0.245568032271958,0.793368891912886
ABHD5,-0.133543166666673,0.704319363143909,0.925527301526955
ABHD6,-0.534097166666671,0.330849518095993,0.793368891912886
ABHD8,-0.106561000000008,0.647156795107344,0.903991452645591
ABI1,0.176424516666662,0.527659975642933,0.85330901512155
ABI2,-0.440231166666671,0.4510965010385,0.823845858147837
ABI3,0.166388,0.79424174446077,0.949238312646083
ABI3BP,-0.566872833333335,0.358453115920921,0.794805159682959
ABL1,-0.200578050000002,0.278934811185535,0.793368891912886
ABL2,-0.948127416666666,0.0458681968480464,0.524511475323312
ABLIM1,-0.327192000000001,0.169453604379836,0.75983785263581
ABLIM2,-0.851933866666669,0.0501913964829479,0.540490076042218
ABLIM3,-1.33864841666667,0.00273835063661711,0.1741741828373
ABO,0.321665333333332,0.127536330020081,0.723259770660681
ABP1,0.530794783333333,0.267793491542159,0.793368891912886
ABR,-0.350609683333337,0.200204690352426,0.776890424997978
ABRA,0.114867683333333,0.788824820562954,0.948063460928279
ABT1,-0.0412370666666693,0.827261258896159,0.957023578128689
ABTB1,0.271139499999997,0.729250136150696,0.934261397756601
ABTB2,-0.709449833333341,0.0997547412795856,0.678475535069953
ACAA1,-0.128496333333333,0.371973744881103,0.797179950911463
ACAA2,0.296023666666668,0.435442913089056,0.81813414063671
ACACA,-0.59914858333334,0.220816982320505,0.787860836270286
ACACB,0.380834516666665,0.14645020058843,0.741541530116731
ACAD10,-0.384101300000001,0.0478246000320794,0.532699672204151
ACAD11,-0.275004933333335,0.310974205566825,0.793368891912886
ACAD8,-0.259583683333337,0.307875137127066,0.793368891912886
ACAD9,-0.230498500000005,0.339987924119256,0.793433115436606
ACADL,-1.08373308333333,0.145158478337236,0.740291002366194
ACADM,-0.147742833333337,0.749196429162311,0.940195276530282
ACADS,-0.068910433333337,0.790570219711505,0.948611081613022
ACADSB,-0.287908000000002,0.470013142461422,0.831056641184197
ACADVL,-0.615195833333338,0.0510743088093508,0.542601725502926
ACAN,0.694069316666664,0.0557304242256318,0.564897236237134
ACAP1,0.593295833333332,0.59224467332314,0.880910403128479
ACAP2,0.260592433333331,0.558908013789636,0.867177350366104
ACAP3,-0.233850083333341,0.411940900886806,0.810140438430182
ACAT1,-0.357311166666667,0.481074530566633,0.83581840180867
ACAT2,-0.456574333333338,0.399945211836204,0.806289228251317
ACBD3,-0.148988800000003,0.587584121625299,0.879266766477762
ACBD4,1.53434643333333,0.0449086047175189,0.521935798501192
ACBD5,1.92895933333333,0.002022938121915,0.155423466127407
