"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-8863678","Neurodegenerative Diseases","2/39","17/10173",0.117647058823529,30.6877828054299,7.59951554940203,0.00187818959443846,0.0119139730566116,0.00636698155252119,"3725/6648",2
"R-HSA-909733","Interferon alpha/beta signaling","3/39","67/10173",0.0447761194029851,11.6796785304248,5.4406521979949,0.00210649406122489,0.0119139730566116,0.00636698155252119,"8651/9021/3659",3
"R-HSA-6783589","Interleukin-6 family signaling","2/39","18/10173",0.111111111111111,28.982905982906,7.37113102942359,0.00210785677155437,0.0119139730566116,0.00636698155252119,"9021/3569",2
"R-HSA-9674555","Signaling by CSF3 (G-CSF)","2/39","18/10173",0.111111111111111,28.982905982906,7.37113102942359,0.00210785677155437,0.0119139730566116,0.00636698155252119,"8651/9021",2
"R-HSA-9705462","Inactivation of CSF3 (G-CSF) signaling","2/39","18/10173",0.111111111111111,28.982905982906,7.37113102942359,0.00210785677155437,0.0119139730566116,0.00636698155252119,"8651/9021",2
"R-HSA-9734009","Defective Intrinsic Pathway for Apoptosis","2/39","18/10173",0.111111111111111,28.982905982906,7.37113102942359,0.00210785677155437,0.0119139730566116,0.00636698155252119,"3725/6648",2
"R-HSA-982772","Growth hormone receptor signaling","2/39","18/10173",0.111111111111111,28.982905982906,7.37113102942359,0.00210785677155437,0.0119139730566116,0.00636698155252119,"8651/9021",2
"R-HSA-112409","RAF-independent MAPK1/3 activation","2/39","19/10173",0.105263157894737,27.4574898785425,7.16064080288699,0.00235014776101222,0.0124701717931261,0.00666422136312811,"1843/3569",2
"R-HSA-9660826","Purinergic signaling in leishmaniasis infection","2/39","19/10173",0.105263157894737,27.4574898785425,7.16064080288699,0.00235014776101222,0.0124701717931261,0.00666422136312811,"3162/3326",2
"R-HSA-9664424","Cell recruitment (pro-inflammatory response)","2/39","19/10173",0.105263157894737,27.4574898785425,7.16064080288699,0.00235014776101222,0.0124701717931261,0.00666422136312811,"3162/3326",2
"R-HSA-2559583","Cellular Senescence","4/39","155/10173",0.0258064516129032,6.73151364764268,4.4605631842389,0.0028163922603155,0.0143611058218276,0.00767476100599696,"2353/3725/3576/3569",4
"R-HSA-9013418","RHOBTB2 GTPase cycle","2/39","21/10173",0.0952380952380952,24.8424908424908,6.78469761681457,0.00287222116436553,0.0143611058218276,0.00767476100599696,"3320/3326",2
"R-HSA-9613829","Chaperone Mediated Autophagy","2/39","21/10173",0.0952380952380952,24.8424908424908,6.78469761681457,0.00287222116436553,0.0143611058218276,0.00767476100599696,"3320/3326",2
"R-HSA-380994","ATF4 activates genes in response to endoplasmic reticulum  stress","2/39","22/10173",0.0909090909090909,23.7132867132867,6.61579346761597,0.00315181484839826,0.0154617332185575,0.00826295054594975,"3576/6347",2
"R-HSA-2871796","FCERI mediated MAPK activation","2/39","23/10173",0.0869565217391304,22.6822742474916,6.45774303157807,0.00344365488032921,0.0159883976586714,0.00854440684592963,"2353/3725",2
"R-HSA-912694","Regulation of IFNA/IFNB signaling","2/39","23/10173",0.0869565217391304,22.6822742474916,6.45774303157807,0.00344365488032921,0.0159883976586714,0.00854440684592963,"8651/9021",2
"R-HSA-9615017","FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","2/39","23/10173",0.0869565217391304,22.6822742474916,6.45774303157807,0.00344365488032921,0.0159883976586714,0.00854440684592963,"6648/847",2
"R-HSA-877300","Interferon gamma signaling","3/39","81/10173",0.037037037037037,9.66096866096866,4.85473339482429,0.00361564835167608,0.0164924310778207,0.00881376883511066,"8651/9021/3659",3
"R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","2/39","24/10173",0.0833333333333333,21.7371794871795,6.30940942993603,0.00374764816105966,0.0167839119815025,0.00896954000630901,"2353/3725",2
"R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","3/39","83/10173",0.036144578313253,9.42817423540315,4.782687417111,0.0038732104572698,0.0167839119815025,0.00896954000630901,"2353/3725/8651",3
"R-HSA-168188","Toll Like Receptor TLR6:TLR2 Cascade","3/39","83/10173",0.036144578313253,9.42817423540315,4.782687417111,0.0038732104572698,0.0167839119815025,0.00896954000630901,"2353/3725/8651",3
"R-HSA-168179","Toll Like Receptor TLR1:TLR2 Cascade","3/39","85/10173",0.0352941176470588,9.20633484162896,4.71304068502865,0.00414172250240519,0.0173685137197637,0.00928195874902352,"2353/3725/8651",3
"R-HSA-181438","Toll Like Receptor 2 (TLR2) Cascade","3/39","85/10173",0.0352941176470588,9.20633484162896,4.71304068502865,0.00414172250240519,0.0173685137197637,0.00928195874902352,"2353/3725/8651",3
"R-HSA-9909649","Regulation of PD-L1(CD274) transcription","3/39","86/10173",0.0348837209302326,9.09928443649374,4.67907380542319,0.00428012873547862,0.0176640233527689,0.00943988292536639,"2353/3725/3659",3
"R-HSA-5339562","Uptake and actions of bacterial toxins","2/39","26/10173",0.0769230769230769,20.0650887573964,6.0381195096158,0.0043917245808055,0.0178413811095223,0.00953466520832773,"3320/3326",2
"R-HSA-418594","G alpha (i) signalling events","5/39","287/10173",0.0174216027874564,4.54435808094345,3.77844640260447,0.00452873909184118,0.0181149563673647,0.00968086737041353,"3576/2920/2921/6374/3627",5
"R-HSA-381042","PERK regulates gene expression","2/39","27/10173",0.0740740740740741,19.3219373219373,5.91358543423316,0.00473162402294077,0.0186397309994637,0.00996131373250689,"3576/6347",2
"R-HSA-5218859","Regulated Necrosis","2/39","29/10173",0.0689655172413793,17.9893899204244,5.68351737284255,0.00544668984682794,0.0211364083608248,0.0112955704600359,"3320/3659",2
"R-HSA-168274","Export of Viral Ribonucleoproteins from Nucleus","2/39","30/10173",0.0666666666666667,17.3897435897436,5.57692242098944,0.00582167549589276,0.021936748245393,0.011723282463125,"3303/3304",2
"R-HSA-9706574","RHOBTB GTPase Cycle","2/39","30/10173",0.0666666666666667,17.3897435897436,5.57692242098944,0.00582167549589276,0.021936748245393,0.011723282463125,"3320/3326",2
"R-HSA-383280","Nuclear Receptor transcription pathway","2/39","33/10173",0.0606060606060606,15.8088578088578,5.28572524950307,0.00701536925022359,0.0260570857865448,0.0139252442260077,"2908/4306",2
"R-HSA-9031628","NGF-stimulated transcription","2/39","34/10173",0.0588235294117647,15.3438914027149,5.19701433582453,0.00743588389220615,0.0272299973517408,0.0145520633620639,"6446/2353",2
"R-HSA-156590","Glutathione conjugation","2/39","35/10173",0.0571428571428571,14.9054945054945,5.11198235170499,0.00786756032629493,0.0280214477374888,0.0149750247018159,"2729/2730",2
"R-HSA-8950505","Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation","2/39","35/10173",0.0571428571428571,14.9054945054945,5.11198235170499,0.00786756032629493,0.0280214477374888,0.0149750247018159,"6647/6648",2
"R-HSA-211859","Biological oxidations","4/39","209/10173",0.0191387559808612,4.99227088700773,3.61760641104974,0.0081129967643601,0.0285051237666706,0.0152335074380588,"1584/3326/2729/2730",4
"R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade","3/39","111/10173",0.027027027027027,7.04989604989605,3.97568781559897,0.00868624286457881,0.0301123085972066,0.016092407833325,"2353/3725/8651",3
"R-HSA-168643","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","2/39","40/10173",0.05,13.0423076923077,4.73386341598599,0.0101903330793843,0.0348616657978936,0.0186305258515059,"3162/3326",2
"R-HSA-9020591","Interleukin-12 signaling","2/39","44/10173",0.0454545454545455,11.8566433566434,4.4769645276273,0.0122406924512859,0.0413322082770693,0.0220884675812678,"6647/6648",2
"R-HSA-2029482","Regulation of actin dynamics for phagocytic cup formation","2/39","45/10173",0.0444444444444444,11.5931623931624,4.41789174593867,0.012779267062287,0.04259755687429,0.0227646862648027,"3320/3326",2
"R-HSA-450294","MAP kinase activation","2/39","46/10173",0.0434782608695652,11.3411371237458,4.36065609355426,0.0133280697469742,0.0438645333444721,0.0234417749047381,"2353/3725",2
"R-HSA-5668914","Diseases of metabolism","4/39","244/10173",0.0163934426229508,4.27616645649433,3.21331385445188,0.0137553957019914,0.044705036031472,0.0238909504297745,"1584/4158/2729/2730",4
"R-HSA-447115","Interleukin-12 family signaling","2/39","49/10173",0.0408163265306122,10.6467817896389,4.19903462621632,0.0150350272817467,0.0476804927360862,0.0254810730411473,"6647/6648",2
"R-HSA-168898","Toll-like Receptor Cascades","3/39","136/10173",0.0220588235294118,5.7539592760181,3.46232617097308,0.0150376938629195,0.0476804927360862,0.0254810730411473,"2353/3725/8651",3
