"GeneSet","gene","logFC","P.Value","adj.P.Val"
"curated","CEBPB",-0.190200000000001,0.174105488902449,0.999986929681086
"curated","CRH",-0.207277500000001,0.180773555375253,0.999986929681086
"curated","CYP11B1",0.0342574999999989,0.763169565488158,0.999986929681086
"curated","DUSP1",0.484724999999997,0.169357476672774,0.999986929681086
"curated","FKBP5",-0.303867500000001,0.112359201683385,0.999986929681086
"curated","HSD11B1",0.0558500000000004,0.875734761828171,0.999986929681086
"curated","HSD11B2",0.214647500000002,0.250239329625087,0.999986929681086
"curated","MC2R",-0.2163025,0.323458281946256,0.999986929681086
"curated","NR3C1",-0.298337500000001,0.516468678691549,0.999986929681086
"curated","NR3C2",0.49451,0.155350583717511,0.999986929681086
"curated","PER1",0.0979724999999996,0.368847164650191,0.999986929681086
"curated","SGK1",0.0869249999999973,0.795863862302602,0.999986929681086
"curated","TSC22D3",0.0900774999999996,0.421620382716217,0.999986929681086
"hallmark","CEBPB",-0.190200000000001,0.174105488902449,0.999986929681086
"hallmark","CXCL8",-0.39493,0.594666188173599,0.999986929681086
"hallmark","DUSP1",0.484724999999997,0.169357476672774,0.999986929681086
"hallmark","FKBP5",-0.303867500000001,0.112359201683385,0.999986929681086
"hallmark","FOS",0.635962500000002,0.0786770228617017,0.999986929681086
"hallmark","GADD45B",-0.176689999999997,0.515606738766348,0.999986929681086
"hallmark","GADD45G",-0.099594999999999,0.341382191497485,0.999986929681086
"hallmark","HMOX1",-0.194924999999998,0.288842127793881,0.999986929681086
"hallmark","HSPA1A",-0.0444250000000022,0.738793411195828,0.999986929681086
"hallmark","HSPA1B",0.0808974999999998,0.513985430496291,0.999986929681086
"hallmark","HSPB1",0.153850000000004,0.300446855106974,0.999986929681086
"hallmark","IER5",-0.0265399999999971,0.881621653935437,0.999986929681086
"hallmark","JUN",-0.114525,0.645995077470376,0.999986929681086
"hallmark","KLF15",0.1925025,0.13219460946701,0.999986929681086
"hallmark","KLF9",0.225397499999998,0.0774474735339851,0.999986929681086
"hallmark","PER1",0.0979724999999996,0.368847164650191,0.999986929681086
"hallmark","SGK1",0.0869249999999973,0.795863862302602,0.999986929681086
"hallmark","SOCS1",-0.168894999999999,0.404513022954007,0.999986929681086
"hallmark","SOCS3",-0.227077499999998,0.131035500300313,0.999986929681086
"hallmark","TSC22D3",0.0900774999999996,0.421620382716217,0.999986929681086
"hallmark","ZBTB16",0.203905,0.104915682431466,0.999986929681086
"reactome","CEBPB",-0.190200000000001,0.174105488902449,0.999986929681086
"reactome","DUSP1",0.484724999999997,0.169357476672774,0.999986929681086
"reactome","FKBP5",-0.303867500000001,0.112359201683385,0.999986929681086
"reactome","FOS",0.635962500000002,0.0786770228617017,0.999986929681086
"reactome","HSP90AA1",0.0828500000000041,0.678937974852837,0.999986929681086
"reactome","HSP90AB1",-0.0955999999999975,0.315214515676566,0.999986929681086
"reactome","HSPA1A",-0.0444250000000022,0.738793411195828,0.999986929681086
"reactome","HSPA1B",0.0808974999999998,0.513985430496291,0.999986929681086
"reactome","JUN",-0.114525,0.645995077470376,0.999986929681086
"reactome","KLF9",0.225397499999998,0.0774474735339851,0.999986929681086
"reactome","MAPK14",-0.107072500000001,0.358321214008126,0.999986929681086
"reactome","NR3C1",-0.298337500000001,0.516468678691549,0.999986929681086
"reactome","NR3C2",0.49451,0.155350583717511,0.999986929681086
"reactome","PER1",0.0979724999999996,0.368847164650191,0.999986929681086
"reactome","SGK1",0.0869249999999973,0.795863862302602,0.999986929681086
"reactome","TSC22D3",0.0900774999999996,0.421620382716217,0.999986929681086
"stress","CAT",0.100940000000003,0.773604992104096,0.999986929681086
"stress","CCL2",0.7944675,0.205224322441572,0.999986929681086
"stress","CEBPB",-0.190200000000001,0.174105488902449,0.999986929681086
"stress","CXCL10",0.0831124999999995,0.498534678843929,0.999986929681086
"stress","CXCL2",-0.7735925,0.00932478487804022,0.999986929681086
"stress","CXCL3",-0.840025000000001,0.0565210619180318,0.999986929681086
"stress","CXCL5",-1.21491,0.00456421787517494,0.999986929681086
"stress","GCLC",0.1781925,0.29911204578374,0.999986929681086
"stress","GCLM",0.216849999999997,0.140613055255557,0.999986929681086
"stress","HMOX1",-0.194924999999998,0.288842127793881,0.999986929681086
"stress","IL6",1.22754,0.0257238273217769,0.999986929681086
"stress","INSR",0.111790000000001,0.403114304129071,0.999986929681086
"stress","IRF1",-0.164900000000002,0.466868983911327,0.999986929681086
"stress","MAPK14",-0.107072500000001,0.358321214008126,0.999986929681086
"stress","MAPK8",-0.0982050000000001,0.341171802797151,0.999986929681086
"stress","NFKB1",0.0854349999999986,0.44016576919523,0.999986929681086
"stress","NQO1",0.125175000000002,0.474124496629551,0.999986929681086
"stress","PPARG",-0.248890000000001,0.1392933256988,0.999986929681086
"stress","RELA",-0.0589450000000049,0.756388491503233,0.999986929681086
"stress","SGK1",0.0869249999999973,0.795863862302602,0.999986929681086
"stress","SOD1",-0.0916250000000005,0.588151544564472,0.999986929681086
"stress","SOD2",-0.48118,0.0696224128981539,0.999986929681086
"stress","TNF",0.119785,0.507255826241519,0.999986929681086
"stress","TXNRD1",0.320425000000004,0.075254979847522,0.999986929681086
