"sample","mean_dist","z","outlier","dataset","n_probes","n_samples","PC1","PC2"
"GSM2595136",81.1256490975497,0.556637884648936,FALSE,"GSE98421",54675,8,-11.1159420381217,19.1680262507986
"GSM2595137",71.8659333266539,-2.18044274436844,TRUE,"GSE98421",54675,8,-5.43497590958261,10.1771434980516
"GSM2595138",77.2985680760368,-0.574609508773993,FALSE,"GSE98421",54675,8,-15.9104988357971,-8.81456263264705
"GSM2595139",80.9109128309797,0.493163962757768,FALSE,"GSE98421",54675,8,16.8175769385032,0.712933870515639
"GSM2595140",78.6396882152228,-0.178187626615512,FALSE,"GSE98421",54675,8,-13.2042625011357,-16.1110000683495
"GSM2595141",81.9637696881303,0.804378062643264,FALSE,"GSE98421",54675,8,20.8179649307165,-3.92124356221851
"GSM2595142",80.3057307463566,0.314278109041114,FALSE,"GSE98421",54675,8,-8.07147974093499,-0.188290851620588
"GSM2595143",81.8298132485496,0.764781860666869,FALSE,"GSE98421",54675,8,16.1016171563524,-1.02300650453018
